Scientific name;Taxon status;Type category;Barcode;Collector;Collector Number;Date;Determined by;Locality Note;Latitude;Longitude;Precision;Habitat;Country;Country ISO code;Major Admin Name;Minor Admin Name;Locality;Taxon rank;Kingdom;Phylum;Class;Order;Family;Genus;Species;Collection;Institute code;Institute;Collection year
Gnaphalium sylvaticum L.;;;UGDA.0002083;Rydzewska-Szymczyk Maria;s.n.;1971-08-12;Rydzewska-Szymczyk Maria;Pobrzeże Gdańskie, Nadl. Oliwa, leśn. Matemblewo, oddz. 78;54.3681;18.5452;5km;droga w lesie bukowym;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Gnaphalium;sylvaticum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Hieracium murorum L.;;;UGDA.0001994;Rydzewska-Szymczyk Maria;s.n.;1971-09-28;Rydzewska-Szymczyk Maria;Pojezierze Kaszubskie, Nadleśnictwo Oliwa, Leśnictwo Matemblewo, oddział 86;54.3658;18.5407;2,5km;las bukowy;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;murorum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Gnaphalium sylvaticum L.;;;UGDA.0002084;Rydzewska-Szymczyk Maria;s.n.;1971-08-12;Rydzewska-Szymczyk Maria;Pojezierze Kaszubskie, Nadleśnictwo Oliwa, Leśnictwo Matemblewo, oddział 78;54.3681;18.5452;5km;droga w lesie bukowym;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Gnaphalium;sylvaticum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Gnaphalium sylvaticum L.;;;UGDA.0002085;Rydzewska-Szymczyk Maria;s.n.;1971-08-12;Rydzewska-Szymczyk Maria;Nad. Oliwa, leśn. Matemblewo, oddz. 78;54.3681;18.5452;10km;droga w lesie bukowym;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk;species;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Gnaphalium;sylvaticum;UGDA-Plants;UGDA;Uniwersytet Gdański;1971
Gagea lutea (L.) Ker Gawl.;;;UGDA.0047785;Waszkiewicz Dorota;s.n.;2005-04-17;Waszkiewicz Dorota;Polska, województwo pomorskie, Gdańsk-Matemblewo, Dolina Strzyży, oddział 155;54.3671;18.5362;1km;grąd;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Liliopsida;Liliales;Liliaceae;Gagea;lutea;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Epilobium hirsutum L.;;;UGDA.0047784;Waszkiewicz Dorota;s.n.;2005-08-09;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;hirsutum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Epilobium hirsutum L.;;;UGDA.0047783;Waszkiewicz Dorota;s.n.;2005-08-09;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;hirsutum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Epilobium hirsutum L.;;;UGDA.0047782;Waszkiewicz Dorota;s.n.;2005-08-09;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;hirsutum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Fraxinus excelsior L.;;;UGDA.0047780;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łęg;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Fraxinus excelsior L.;;;UGDA.0047779;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łęg;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Fraxinus excelsior L.;;;UGDA.0047778;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łęg;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Polygonatum multiflorum (L.) All.;;;UGDA.0047789;Waszkiewicz Dorota;s.n.;2005-05-21;Waszkiewicz Dorota;Polska, województwo pomorskie, Gdańsk-Matemblewo, Dolina Strzyży, oddział 155;54.3671;18.5362;1km;grąd;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Polygonatum;multiflorum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Polygonatum multiflorum (L.) All.;;;UGDA.0047788;Waszkiewicz Dorota;s.n.;2005-05-21;Waszkiewicz Dorota;Polska, województwo pomorskie, Gdańsk-Matemblewo, Dolina Strzyży, oddział 155;54.3671;18.5362;1km;grąd;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Polygonatum;multiflorum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Paris quadrifolia L.;;;UGDA.0047791;Waszkiewicz Dorota;s.n.;2005-06-08;Waszkiewicz Dorota;Polska, województwo pomorskie, Gdańsk-Matemblewo, Dolina Strzyży, oddział 155;54.3671;18.5362;1km;grąd;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Liliopsida;Liliales;Melanthiaceae;Paris;quadrifolia;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Paris quadrifolia L.;;;UGDA.0047790;Waszkiewicz Dorota;s.n.;2005-06-08;Waszkiewicz Dorota;Polska, województwo pomorskie, Gdańsk-Matemblewo, Dolina Strzyży, oddział 155;54.3671;18.5362;1km;grąd;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Liliopsida;Liliales;Melanthiaceae;Paris;quadrifolia;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Lythrum salicaria L.;;;UGDA.0047777;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;podmokła łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;salicaria;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Lythrum salicaria L.;;;UGDA.0047776;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;podmokła łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;salicaria;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Lythrum salicaria L.;;;UGDA.0047775;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;podmokła łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;salicaria;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Lythrum salicaria L.;;;UGDA.0047774;Waszkiewicz Dorota;s.n.;2005-07-20;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;podmokła łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;salicaria;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
Epilobium montanum L.;;;UGDA.0047781;Waszkiewicz Dorota;s.n.;2005-08-09;Waszkiewicz Dorota;Gdańsk-Matemblewo, dolina Strzyży, oddział 158;54.3613;18.546;1km;łąka;Poland;pl;Pomeranian Voivodeship;Brętowo;Gdańsk  Gdansk;species;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;montanum;UGDA-Plants;UGDA;Uniwersytet Gdański;2005
